,date,sentiment_polarity,sentiment_subjectivity,word_count,total_words,no_articles
0,2000-01-14,0.013725490196078431,0.3196078431372549,0.0,221.0,1
1,2000-01-16,-0.0005862193362193301,0.36861471861471856,0.0,446.0,1
2,2000-01-22,-0.009312373125932449,0.43818976691858047,0.0,379.0,1
3,2000-01-25,-0.05274725274725275,0.22912087912087908,0.0,134.0,1
4,2000-01-28,0.17020400338781086,0.4204947350242758,0.0,1451.5,2
5,2000-01-29,0.08747245179063357,0.4288980716253444,0.0,309.0,1
6,2000-02-01,0.05005464048146975,0.4135328898743531,0.0,485.0,1
7,2000-02-04,0.06812292053885124,0.45463842373658947,0.0,161.5,2
8,2000-02-08,0.14281582038381455,0.47779394496550887,0.0,363.0,2
9,2000-02-23,0.11836917562724016,0.3517921146953405,0.0,254.0,1
10,2000-02-25,0.013627319472389888,0.4438508830762351,0.0,420.0,1
11,2000-03-04,0.05703463203463203,0.41437847866419303,2.0,279.0,1
12,2000-03-09,0.05462471030652847,0.44284293147929515,0.0,519.0,1
13,2000-03-14,0.06034391534391534,0.42480158730158735,0.0,228.0,1
14,2000-03-16,0.08388691058045898,0.45711434622724945,0.0,447.0,2
15,2000-03-17,0.014805665349143604,0.3009316770186335,0.0,264.0,1
16,2000-03-20,0.1255625,0.26516666666666666,1.0,572.0,1
17,2000-03-25,0.14285578532965293,0.43891255134722024,0.0,393.5,2
18,2000-03-26,0.04937324301213191,0.40805622361177907,0.0,496.5,2
19,2000-03-29,-0.036824720418470416,0.36661311778499284,0.0,267.0,2
20,2000-03-31,0.10395061728395062,0.4171604938271605,2.0,283.0,1
21,2000-04-02,0.181923890063425,0.3424594785059902,0.0,248.0,1
22,2000-04-03,0.09147694951163161,0.41229524810449664,0.0,1141.0,1
23,2000-04-10,0.09042038690476192,0.5235863095238095,0.0,204.0,1
24,2000-04-14,0.12615568954854672,0.40569470212327363,0.0,562.0,1
25,2000-04-15,0.12025390393192277,0.40243015251428393,0.0,883.3333333333334,3
26,2000-04-16,0.1373015873015873,0.5286558595069234,0.0,281.0,1
27,2000-04-21,0.24117647058823533,0.6529411764705882,0.0,139.0,1
28,2000-04-26,0.052173638050261435,0.3715559116208467,0.0,562.0,1
29,2000-04-29,0.0884916600827561,0.493188701984745,0.6666666666666666,1088.0,3
30,2000-05-01,0.06006552677187595,0.36636361727631567,0.0,1095.0,1
31,2000-05-03,0.08394688644688642,0.48686660561660555,0.0,708.0,1
32,2000-05-06,0.041904761904761924,0.2805442176870748,0.0,210.0,1
33,2000-05-13,0.029332167832167837,0.3226662004662005,0.0,175.0,1
34,2000-05-14,0.03662251149056705,0.37739562289562284,0.0,448.3333333333333,3
35,2000-05-19,0.1060072262806638,0.4373671062733562,0.0,1121.0,1
36,2000-05-21,0.16211688311688316,0.5055844155844155,6.0,392.0,1
37,2000-05-25,0.018717171717171712,0.35831313131313136,1.0,331.0,1
38,2000-05-27,0.039078674948240175,0.4628364389233955,0.0,140.0,1
39,2000-05-28,0.07910765958179752,0.43800370127956345,0.0,1090.0,1
40,2000-05-31,0.07472222222222222,0.44,0.0,165.0,1
41,2000-06-03,-0.013405673274094322,0.2904334700387332,0.0,270.0,1
42,2000-06-07,-0.03166666666666666,0.3316666666666667,0.0,203.0,1
43,2000-06-09,0.14923091458805746,0.4154421768707483,0.0,527.0,1
44,2000-06-11,0.07443261490537484,0.4329670270271765,0.0,850.5,2
45,2000-06-17,0.18408245508485127,0.53802349141806,0.0,1089.5,2
46,2000-06-18,0.04167965367965367,0.4245952380952381,0.0,429.0,1
47,2000-06-21,0.060157101993385156,0.43221749735024084,0.0,585.0,1
48,2000-06-22,0.11890136949335492,0.41878183123629387,0.0,381.0,2
49,2000-06-24,0.12523878427740903,0.44805044135264843,0.5,767.0,2
50,2000-07-01,-0.03040633608815427,0.3299586776859504,0.0,241.0,1
51,2000-07-11,-0.04044117647058824,0.471813725490196,0.0,300.0,1
52,2000-07-12,-0.02579365079365079,0.45436507936507936,0.0,252.0,1
53,2000-07-15,0.2714489479049064,0.46221492060999836,0.5,777.0,2
54,2000-07-29,0.10625,0.22083333333333333,0.0,233.0,1
55,2000-07-30,-0.049557688688123484,0.3218332392245436,0.0,315.0,1
56,2000-08-03,-0.15396825396825395,0.24603174603174605,0.0,163.0,1
57,2000-08-04,0.028280454925191763,0.36053675856307443,0.0,345.0,1
58,2000-08-05,0.09114515250544664,0.3538453159041394,0.0,212.0,3
59,2000-08-06,0.014683875794986912,0.35968013468013477,2.0,546.0,1
60,2000-08-14,0.01894005186258707,0.4190163676959452,0.0,491.5,2
61,2000-08-15,-0.03733660130718955,0.3290032679738562,0.0,341.0,1
62,2000-08-16,0.053377733377733376,0.33571983571983577,0.0,478.0,1
63,2000-08-19,0.15736607142857142,0.4180059523809524,4.0,432.0,1
64,2000-08-23,0.016570437383544162,0.4326782063675267,0.0,1098.0,1
65,2000-08-24,0.05107648415747008,0.4363509211836676,0.0,612.5,2
66,2000-08-26,0.043237088343635655,0.3465491754152142,0.0,344.6666666666667,3
67,2000-08-27,0.10630695754741556,0.3418373606827806,0.0,599.0,2
68,2000-08-31,0.0289188178077067,0.3907500935278712,0.0,403.0,1
69,2000-09-01,0.0040084200806500755,0.4505257283812683,0.0,524.3333333333334,3
70,2000-09-08,0.00255050505050505,0.3265109427609428,0.0,323.0,1
71,2000-09-11,0.04391891891891893,0.2977477477477477,1.0,533.0,1
72,2000-09-12,-0.07413059163059162,0.3249278499278499,0.0,313.0,1
