,datetime,price,ticker,date,sp500,ln_return_index,ln_return_price,roll_resid,year,month
0,2010-01-04,24.125,ALXN,2010-01-04,1867.060059,0.0,0.0,0.0,2010,1
7,2010-01-05,23.78000068664551,ALXN,2010-01-05,1872.900024,0.003123011805968231,-0.01440372708749788,0.0,2010,1
14,2010-01-06,23.84000015258789,ALXN,2010-01-06,1874.72998,0.0009765938171526164,0.0025199284600960427,0.0,2010,1
21,2010-01-07,23.93000030517578,ALXN,2010-01-07,1882.339966,0.004051027272077364,0.0037680660754874037,0.0,2010,1
28,2010-01-08,23.97500038146973,ALXN,2010-01-08,1887.77002,0.0028805832057616546,0.0018787220075127183,0.0,2010,1
35,2010-01-11,23.82999992370605,ALXN,2010-01-11,1891.060059,0.0017413007531627911,-0.00606634877158971,0.0,2010,1
42,2010-01-12,23.5,ALXN,2010-01-12,1873.319946,-0.009425320667567428,-0.013944866758944971,0.0,2010,1
49,2010-01-13,23.56999969482422,ALXN,2010-01-13,1889.099976,0.008388283527596917,0.0029742828502903585,0.0,2010,1
56,2010-01-14,23.834999084472656,ALXN,2010-01-14,1893.719971,0.0024426207759235216,0.011180346245335926,0.0,2010,1
63,2010-01-15,23.70499992370605,ALXN,2010-01-15,1873.300049,-0.010841525610205746,-0.005469057110132926,0.0,2010,1
70,2010-01-19,23.815000534057614,ALXN,2010-01-19,1896.719971,0.012424455651215097,0.00462966354247869,0.0,2010,1
77,2010-01-20,23.46500015258789,ALXN,2010-01-20,1876.900024,-0.01050457082603043,-0.014805700928917717,0.0,2010,1
84,2010-01-21,23.415000915527344,ALXN,2010-01-21,1841.390015,-0.019100763114818994,-0.002133074013627335,0.0,2010,1
91,2010-01-22,23.10000038146973,ALXN,2010-01-22,1800.609985,-0.02239524130166238,-0.013544247693951518,0.0,2010,1
98,2010-01-25,23.09499931335449,ALXN,2010-01-25,1808.930054,0.004610052053914223,-0.00021651989036980285,0.0,2010,1
105,2010-01-26,22.75,ALXN,2010-01-26,1801.339966,-0.004204726594135926,-0.01505096875425957,0.0,2010,1
112,2010-01-27,22.8700008392334,ALXN,2010-01-27,1810.209961,0.004912025592270241,0.0052608993335494176,0.0,2010,1
119,2010-01-28,22.899999618530273,ALXN,2010-01-28,1788.969971,-0.011802820071917158,0.001310849171618332,0.0,2010,1
126,2010-01-29,23.184999465942386,ALXN,2010-01-29,1771.4000239999998,-0.009869811088808583,0.012368600906678942,0.0,2010,1
133,2010-02-01,23.67499923706055,ALXN,2010-02-01,1796.6700440000004,0.014164768086444086,0.020914112037804168,0.0,2010,2
140,2010-02-02,24.32500076293945,ALXN,2010-02-02,1819.98999,0.012896025045183933,0.02708505258987531,0.0,2010,2
147,2010-02-03,24.559999465942386,ALXN,2010-02-03,1810.640015,-0.005150618849882157,0.009614422097439127,0.0,2010,2
154,2010-02-04,24.01000022888184,ALXN,2010-02-04,1754.300049,-0.031610437339326516,-0.02264866176799146,0.0,2010,2
161,2010-02-05,23.38999938964844,ALXN,2010-02-05,1759.380005,0.0028915322177148536,-0.026161865264397323,0.0,2010,2
168,2010-02-08,22.98500061035156,ALXN,2010-02-08,1744.369995,-0.008568021020252488,-0.017466698689002583,0.0,2010,2
175,2010-02-09,23.45499992370605,ALXN,2010-02-09,1767.180054,0.012991630196892655,0.0202418327151083,0.0,2010,2
182,2010-02-10,23.739999771118164,ALXN,2010-02-10,1763.689941,-0.0019769145517173434,0.012077691012690931,0.0,2010,2
189,2010-02-11,23.184999465942386,ALXN,2010-02-11,1781.0100100000002,0.00977245300267861,-0.023655884731526456,0.0,2010,2
196,2010-02-12,23.334999084472656,ALXN,2010-02-12,1776.5,-0.002535488250741629,0.006448845358888329,0.0,2010,2
203,2010-02-16,23.959999084472656,ALXN,2010-02-16,1808.719971,0.017974260273540953,0.026431394868896313,0.0,2010,2
210,2010-02-17,24.36000061035156,ALXN,2010-02-17,1816.699951,0.00440224473809415,0.01655673286058792,0.0,2010,2
217,2010-02-18,24.7549991607666,ALXN,2010-02-18,1828.810059,0.006643872880786644,0.01608498701463568,0.0,2010,2
224,2010-02-19,24.875,ALXN,2010-02-19,1833.089966,0.002337534569261525,0.004835828132842019,0.0,2010,2
231,2010-02-22,24.98500061035156,ALXN,2010-02-22,1831.209961,-0.001026119696756036,0.004412386180231199,0.0,2010,2
238,2010-02-23,24.36000061035156,ALXN,2010-02-23,1809.050049,-0.012175056546762193,-0.025333201327708915,0.0,2010,2
245,2010-02-24,24.584999084472656,ALXN,2010-02-24,1826.98999,0.009867925756547734,0.009193995727457868,0.0,2010,2
252,2010-02-25,24.46999931335449,ALXN,2010-02-25,1823.640015,-0.0018352864769726502,-0.004688614230763994,0.0,2010,2
259,2010-02-26,24.76000022888184,ALXN,2010-02-26,1826.27002,0.0014411344005531039,0.011781607666538978,0.0,2010,2
266,2010-03-01,25.53499984741211,ALXN,2010-03-01,1844.869995,0.010133165217955762,0.030820597063558768,0.0,2010,3
273,2010-03-02,25.88500022888184,ALXN,2010-03-02,1849.170044,0.0023281019679330956,0.013613605072151973,0.0,2010,3
280,2010-03-03,25.96500015258789,ALXN,2010-03-03,1850.23999,0.0005784414379588313,0.0030858239768358944,0.0,2010,3
287,2010-03-04,26.23500061035156,ALXN,2010-03-04,1857.199951,0.0037545957787403998,0.010344937230498704,0.0,2010,3
294,2010-03-05,26.864999771118164,ALXN,2010-03-05,1883.280029,0.01394500212403067,0.02372989525762425,0.0,2010,3
301,2010-03-08,26.84000015258789,ALXN,2010-03-08,1883.290039,5.3151805590102904e-06,-0.0009309978725074265,0.0,2010,3
308,2010-03-09,26.739999771118164,ALXN,2010-03-09,1886.599976,0.0017559864279026137,-0.003732754674306865,0.0,2010,3
