,ticker,year,month,mthly_ave_resid,sec_pos_words,sec_neg_words,mthly_filing_count,gs_poswords,gs_negwords
0,ALXN,2010,5,0.0006538647776567243,8188.0,15322.0,2.0,0.0,0.0
1,ALXN,2010,6,0.0010418805700668453,533.0,1340.0,1.0,0.0,0.0
2,ALXN,2010,7,0.002861163184225485,11536.0,19706.0,2.0,0.0,0.0
3,ALXN,2010,8,0.0017309520359405335,124.0,410.0,1.0,0.0,0.0
4,ALXN,2010,9,0.006227751728856824,1492.0,2433.0,1.0,0.0,0.0
5,ALXN,2010,10,0.0028294037928965985,1227.0,2606.0,1.0,0.0,0.0
6,ALXN,2010,11,0.005367956247538631,9400.0,16357.0,1.0,0.0,0.0
7,ALXN,2010,12,0.0023746025023983937,0.0,0.0,0.0,0.0,0.0
8,ALXN,2011,1,0.001989674567329646,86.0,348.0,1.0,0.0,0.0
9,ALXN,2011,2,0.00729415586211127,24968.0,42237.0,5.0,0.0,0.0
10,ALXN,2011,3,0.0010705084572844867,10484.0,17680.0,2.0,0.0,0.0
11,ALXN,2011,4,-0.0009256196481082391,2018.0,3544.0,2.0,0.0,0.0
12,ALXN,2011,5,-0.0010085085337104822,9873.0,18696.0,3.0,0.0,0.0
13,ALXN,2011,6,-0.0003753805464812824,347.0,882.0,1.0,0.0,0.0
14,ALXN,2011,7,0.009437532114697795,912.0,1957.0,1.0,0.0,0.0
15,ALXN,2011,8,0.0008714900285289518,10101.0,18935.0,1.0,0.0,0.0
16,ALXN,2011,9,0.00477331062469188,107.0,350.0,2.0,0.0,0.0
17,ALXN,2011,10,0.002497888601294366,11142.0,20771.0,3.0,149.0,272.0
18,ALXN,2011,11,0.0008043368890220693,558.0,1154.0,1.0,0.0,0.0
19,ALXN,2011,12,0.001930028968264228,795.0,1967.0,1.0,8627.0,26161.0
20,ALXN,2012,1,0.0035493124634766366,12175.0,19630.0,1.0,180.0,398.0
21,ALXN,2012,2,0.004345683866960457,30563.0,47657.0,4.0,0.0,0.0
22,ALXN,2012,3,0.004704346038903958,0.0,0.0,0.0,0.0,0.0
23,ALXN,2012,4,-0.0013867036351006134,2030.0,4050.0,1.0,0.0,0.0
24,ALXN,2012,5,0.00012564147976259815,18205.0,25539.0,6.0,0.0,0.0
25,ALXN,2012,6,0.004382027274594203,0.0,0.0,0.0,90.0,199.0
26,ALXN,2012,7,0.0025897686195774142,16903.0,24276.0,2.0,0.0,0.0
27,ALXN,2012,8,0.0009677728927660581,0.0,0.0,0.0,59.0,73.0
28,ALXN,2012,9,0.0034163985765906105,128.0,223.0,1.0,59.0,73.0
29,ALXN,2012,10,-0.011222767556663557,17310.0,25377.0,2.0,90.0,199.0
30,ALXN,2012,11,0.002882547359435889,228.0,369.0,1.0,0.0,0.0
31,ALXN,2012,12,-0.0012015749218174227,0.0,0.0,0.0,0.0,0.0
32,ALXN,2013,1,0.00012682862848881245,190.0,454.0,1.0,0.0,0.0
33,ALXN,2013,2,-0.0042249082697205145,19276.0,27729.0,4.0,0.0,0.0
34,ALXN,2013,3,0.003019701955217465,211.0,394.0,1.0,0.0,0.0
35,ALXN,2013,4,0.0028026511721353188,17198.0,24846.0,2.0,0.0,0.0
36,ALXN,2013,5,-0.00019522297810132874,449.0,969.0,1.0,59.0,73.0
37,ALXN,2013,6,-0.0028139360175509754,0.0,0.0,0.0,0.0,0.0
38,ALXN,2013,7,0.010492406836619837,17154.0,26992.0,2.0,90.0,199.0
39,ALXN,2013,8,-0.0034236477854948104,364.0,615.0,2.0,0.0,0.0
40,ALXN,2013,9,0.0037531015338417885,0.0,0.0,0.0,0.0,0.0
41,ALXN,2013,10,0.002469963532094059,17678.0,27850.0,2.0,59.0,73.0
42,ALXN,2013,11,0.0006263986031845071,269.0,382.0,1.0,1843.0,3837.0
43,ALXN,2013,12,0.0031019421974431706,597.0,825.0,2.0,0.0,0.0
44,ALXN,2014,1,0.008464672219835696,4360.0,9884.0,2.0,0.0,0.0
45,ALXN,2014,2,0.005674449936684101,16456.0,20799.0,1.0,0.0,0.0
46,ALXN,2014,3,-0.007156367471107811,0.0,0.0,0.0,0.0,0.0
47,ALXN,2014,4,0.0018630754986521914,18677.0,26892.0,4.0,59.0,73.0
48,ALXN,2014,5,0.002383507216362708,510.0,1138.0,1.0,59.0,73.0
49,ALXN,2014,6,-0.0029741142366740427,0.0,0.0,0.0,0.0,0.0
50,ALXN,2014,7,0.0007901842315673185,17556.0,27522.0,4.0,0.0,0.0
51,ALXN,2014,8,0.0029891352037711752,191.0,355.0,1.0,270.0,597.0
52,ALXN,2014,9,-0.0009862035301152633,523.0,780.0,1.0,59.0,73.0
53,ALXN,2014,10,0.0062284159606107335,17799.0,27901.0,4.0,90.0,199.0
54,ALXN,2014,11,0.0009647421708190309,336.0,686.0,1.0,59.0,73.0
55,ALXN,2014,12,-0.002362209440957997,230.0,440.0,1.0,0.0,0.0
56,ALXN,2015,1,-0.0004860584249891893,4560.0,10258.0,2.0,0.0,0.0
57,ALXN,2015,2,-0.0008308699676578063,16637.0,22542.0,2.0,0.0,0.0
58,ALXN,2015,3,-0.001817547967262527,574.0,824.0,2.0,0.0,0.0
59,ALXN,2015,4,-0.0011316906265582006,17853.0,25586.0,3.0,59.0,73.0
