ticker,year,month,mthly_ave_resid,sec_pos_words,sec_neg_words,mthly_filing_count,gs_poswords,gs_negwords,date,goo_trends_value,polarity,subjectivity,count_word_stock,total_words,no_articles,polarity_biotec,subjectivity_biotec,count_word_stock_biotec,total_words_biotec,no_articles_biotec,polarity_pharma,subjectivity_pharma,count_word_stock_pharma,total_words_pharma,no_articles_pharma
ALXN,2000,5,0.0013956941596030312,0.0,0.0,0.0,0.0,0.0,2000-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.09228716319237626,0.42823494556508324,1.5,6342.0,19.0,0.09877995572741895,0.4393957003521811,7.857142857142857,7455.785714285714,20
ALXN,2000,6,0.02683886731416308,0.0,0.0,0.0,0.0,0.0,2000-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.1136029381424473,0.4295366049671449,8.25,5793.0,23.0,0.08903775184157516,0.4128084831973127,8.666666666666666,12205.333333333334,31
ALXN,2000,7,-0.002118392407800484,0.0,0.0,0.0,0.0,0.0,2000-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.08597409549999488,0.38474567264374243,2.75,5400.5,24.0,0.08852780882197024,0.4497800289961089,3.333333333333333,8779.333333333332,29
ALXN,2000,8,0.016280975707615632,0.0,0.0,0.0,0.0,0.0,2000-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.08365023994847551,0.44288445574815627,3.0,4349.5,13.0,0.08377781750403128,0.42631527228811017,13.5,9753.0,16
ALXN,2000,9,0.002608931268619929,0.0,0.0,0.0,0.0,0.0,2000-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.08306514087759158,0.43124082770533595,7.0,4257.0,11.0,0.10038728158879447,0.3914555731149237,8.0,5945.5,22
ALXN,2000,10,-0.012474067855102631,0.0,0.0,0.0,0.0,0.0,2000-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.05102531919794137,0.41477702391519633,5.0,4183.0,18.0,0.05077232378149543,0.42074696393093564,10.0,4064.5,14
ALXN,2000,11,-0.009998192299882072,0.0,0.0,0.0,0.0,0.0,2000-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.08546714782339448,0.4126693580058048,5.866666666666666,6703.433333333333,35.0,0.09164976928696812,0.44631715299438585,6.25,10621.333333333332,47
ALXN,2000,12,-0.014375317246478702,0.0,0.0,0.0,0.0,0.0,2000-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.09239933244917668,0.38545292398623193,9.0,4448.833333333334,19.0,0.07772565966351778,0.4117957628892047,14.166666666666666,10380.0,44
ALXN,2001,1,-0.013803775872784871,0.0,0.0,0.0,0.0,0.0,2001-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.051705609429960844,0.42925545684224287,8.333333333333332,8362.166666666668,23.0,0.06656003605406699,0.41116736009662824,6.833333333333333,11662.0,41
ALXN,2001,2,-0.009327482547406734,0.0,0.0,0.0,0.0,0.0,2001-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.05459778628334856,0.4169786165854286,5.0,5067.5,23.0,0.08851224801196074,0.42158038211440696,3.833333333333333,11942.916666666666,51
ALXN,2001,3,0.006808618866237646,0.0,0.0,0.0,0.0,0.0,2001-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.10316326481625591,0.42056484458291665,6.0,1800.0,8.0,0.06639048310523649,0.42459805965645786,6.25,9321.916666666668,37
ALXN,2001,4,0.0012379510712005075,0.0,0.0,0.0,0.0,0.0,2001-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.054008136545437416,0.3841460438578751,6.0,7232.0,19.0,0.07184184885351448,0.39149981800960815,1.2261904761904763,6761.0690476190475,60
ALXN,2001,5,0.013823255851889793,0.0,0.0,0.0,0.0,0.0,2001-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.11655576713167178,0.4193884766638747,3.5,2257.5,9.0,0.06592322304700524,0.38561982796875643,0.375,7095.208333333334,40
ALXN,2001,6,0.006289635941388495,0.0,0.0,0.0,0.0,0.0,2001-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.09204192147269974,0.4100314612260218,4.0,7514.833333333334,23.0,0.08048282800991713,0.4217476195994476,5.4,10716.699999999999,39
ALXN,2001,7,-0.008511671545010972,0.0,0.0,0.0,0.0,0.0,2001-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.08193500676092381,0.43662890544958494,5.083333333333333,4710.5,19.0,0.07599603550158325,0.3935314689853081,4.8999999999999995,11520.599999999999,46
ALXN,2001,8,0.008864263672182189,0.0,0.0,0.0,0.0,0.0,2001-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.08122646713730249,0.4195515605219184,4.0,2685.0,7.0,0.08687676140974597,0.40753683829356113,9.5,8905.666666666666,37
ALXN,2001,9,0.003717711694295229,0.0,0.0,0.0,0.0,0.0,2001-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0470727960104037,0.38400163492059,4.5,4037.5,17.0,0.05711035881259398,0.41510024233063064,9.5,11977.25,41
ALXN,2001,10,0.0005323334209718401,0.0,0.0,0.0,0.0,0.0,2001-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.07514774720684007,0.43108505305030737,1.5,4120.0,10.0,0.0783729748092582,0.4213235138143272,20.116666666666664,8951.6,45
