,ticker,filing_type,path,datettime
97,MSFT,10-Q,downloaded\SEC\sec_edgar_filings\MSFT\10-Q\0001564590-18-024893.txt,20181024161307
98,MSFT,10-Q,downloaded\SEC\sec_edgar_filings\MSFT\10-Q\0001564590-19-001392.txt,20190130160956
99,MSFT,10-Q,downloaded\SEC\sec_edgar_filings\MSFT\10-Q\0001564590-19-012709.txt,20190424161010
100,MSFT,10-Q,downloaded\SEC\sec_edgar_filings\MSFT\10-Q\0001564590-19-037549.txt,20191023160948
101,MSFT,10-Q,downloaded\SEC\sec_edgar_filings\MSFT\10-Q\0001564590-20-002450.txt,20200129160843
102,MSFT,8-K,downloaded\SEC\sec_edgar_filings\MSFT\8-K\0001193125-18-337951.txt,20181129152957
103,MSFT,8-K,downloaded\SEC\sec_edgar_filings\MSFT\8-K\0001193125-19-022553.txt,20190130160336
104,MSFT,8-K,downloaded\SEC\sec_edgar_filings\MSFT\8-K\0001193125-19-117108.txt,20190424160403
105,MSFT,8-K,downloaded\SEC\sec_edgar_filings\MSFT\8-K\0001193125-19-196501.txt,20190718160333
106,MSFT,8-K,downloaded\SEC\sec_edgar_filings\MSFT\8-K\0001193125-19-249565.txt,20190919162002
107,MSFT,8-K,downloaded\SEC\sec_edgar_filings\MSFT\8-K\0001193125-19-272562.txt,20191023160606
108,MSFT,8-K,downloaded\SEC\sec_edgar_filings\MSFT\8-K\0001193125-19-307138.txt,20191205140250
109,MSFT,8-K,downloaded\SEC\sec_edgar_filings\MSFT\8-K\0001193125-20-018383.txt,20200129160350
110,MSFT,8-K,downloaded\SEC\sec_edgar_filings\MSFT\8-K\0001193125-20-050232.txt,20200226171049
111,MSFT,8-K,downloaded\SEC\sec_edgar_filings\MSFT\8-K\0001193125-20-073072.txt,20200313171153
112,MSFT,SC 13G,downloaded\SEC\sec_edgar_filings\MSFT\SC 13G\0000891836-02-000574.txt,200
113,MSFT,SC 13G,downloaded\SEC\sec_edgar_filings\MSFT\SC 13G\0000932471-15-004913.txt,20150211100442
114,MSFT,SC 13G,downloaded\SEC\sec_edgar_filings\MSFT\SC 13G\0001086364-10-008414.txt,201
115,MSFT,SC 13G,downloaded\SEC\sec_edgar_filings\MSFT\SC 13G\0001086364-12-000582.txt,20120209131232
116,MSFT,SC 13G,downloaded\SEC\sec_edgar_filings\MSFT\SC 13G\0001193125-03-028406.txt,200
117,MSFT,SC 13G,downloaded\SEC\sec_edgar_filings\MSFT\SC 13G\0001193125-04-059935.txt,200
118,MSFT,SC 13G,downloaded\SEC\sec_edgar_filings\MSFT\SC 13G\0001193125-06-031477.txt,200
119,MSFT,SC 13G,downloaded\SEC\sec_edgar_filings\MSFT\SC 13G\0001193125-06-031505.txt,200
120,MSFT,SC 13G,downloaded\SEC\sec_edgar_filings\MSFT\SC 13G\0001193125-06-031509.txt,200
121,MSFT,SC 13G,downloaded\SEC\sec_edgar_filings\MSFT\SC 13G\0001193125-06-031523.txt,200
122,MSFT,SD,downloaded\SEC\sec_edgar_filings\MSFT\SD\0001193125-14-222351.txt,20140602163207
123,MSFT,SD,downloaded\SEC\sec_edgar_filings\MSFT\SD\0001193125-15-207537.txt,20150601071326
124,MSFT,SD,downloaded\SEC\sec_edgar_filings\MSFT\SD\0001193125-16-608106.txt,20160531150039
125,MSFT,SD,downloaded\SEC\sec_edgar_filings\MSFT\SD\0001193125-17-189445.txt,20170531170111
126,MSFT,SD,downloaded\SEC\sec_edgar_filings\MSFT\SD\0001193125-18-178668.txt,20180530170157
127,MSFT,SD,downloaded\SEC\sec_edgar_filings\MSFT\SD\0001193125-19-162895.txt,20190531163059
