,date,sentiment_polarity,sentiment_subjectivity,word_count,total_words,no_articles
0,2001-09-17,0.010455747955747951,0.381361899417455,3.0,342.0,1
1,2001-09-28,0.09053030303030302,0.37215909090909083,1.0,243.0,1
2,2001-10-25,-0.04103725058466436,0.435232746181022,1.0,705.0,1
3,2002-03-06,0.10771490414347558,0.3827458256029685,1.0,208.0,1
4,2002-06-27,0.10940558341548441,0.46217728915748707,1.0,852.0,1
5,2002-10-19,0.0682398753894081,0.3275656430796618,5.0,684.0,1
6,2002-10-20,0.07850266053391051,0.4737227182539683,2.0,384.0,1
7,2002-12-22,0.050720502901353964,0.511408768536428,0.0,327.0,1
8,2003-03-02,0.11494963369963375,0.4092948717948717,1.0,495.0,1
9,2003-05-24,0.13079022548719518,0.4458085545206757,0.0,567.0,1
10,2003-06-29,0.14683031254459822,0.4906730571016283,0.0,598.0,1
11,2003-09-28,0.09795482295482297,0.3616605616605616,0.0,350.0,1
12,2003-10-14,0.10919421487603306,0.3463842975206612,1.0,165.0,1
13,2003-11-01,0.17135567099567095,0.41110666666666673,1.0,790.0,1
14,2004-01-24,0.07169604385513477,0.3419096307732673,5.0,627.0,1
15,2004-02-11,0.19554394880481832,0.5513386975343496,4.0,394.0,1
16,2004-02-19,0.11830234159779617,0.42078685203685195,0.0,320.0,1
17,2004-03-27,0.1298850574712644,0.4097701149425287,3.0,177.0,1
18,2004-04-16,0.044565217391304354,0.2873188405797102,0.0,105.0,1
19,2004-04-17,0.15124390253466338,0.4185104147060667,3.0,678.0,1
20,2004-05-10,0.0926143250688705,0.5096033057851239,1.0,326.0,1
21,2004-05-14,0.20619834710743803,0.5215449954086316,0.0,314.0,1
22,2004-07-07,0.08472222222222221,0.3453703703703704,0.0,225.0,1
23,2004-08-10,0.009722222222222228,0.4111111111111111,0.0,137.0,1
24,2004-08-16,0.07058201058201058,0.33277370777370774,2.0,120.0,1
25,2004-10-09,0.08815269510582012,0.40716600529100533,2.0,522.0,1
26,2004-11-05,0.14833766233766232,0.4157922077922078,0.0,217.0,1
27,2004-11-17,0.09551820728291316,0.49292717086834725,0.0,141.0,1
28,2005-02-25,0.21865800865800858,0.44634585652442804,3.0,486.0,1
29,2005-06-08,0.035736677115987464,0.5076628352490422,0.0,162.0,1
30,2005-08-26,0.05564599014599014,0.3952105482105482,9.0,671.0,1
31,2005-10-12,0.05342130987292277,0.42430759204952756,0.0,234.0,1
32,2005-10-25,0.08410714285714282,0.41077380952380943,2.0,571.0,1
33,2005-11-14,0.21925189393939393,0.47288825757575764,1.0,244.0,1
34,2006-01-26,0.07423187229437231,0.42324671393421376,4.0,702.0,2
35,2006-01-27,0.1099952322581633,0.43392706836340783,3.0,505.0,2
36,2006-06-14,0.18448258091115236,0.3325912183055041,0.0,258.0,1
37,2006-06-30,0.03955492424242425,0.36761363636363636,1.0,318.0,1
38,2006-07-12,0.05257421150278293,0.34221165739022885,0.0,198.0,1
39,2006-07-25,0.13074945887445888,0.402056277056277,0.0,228.0,1
40,2006-10-30,0.11120129870129866,0.5105519480519479,1.0,116.0,1
41,2006-11-20,0.023711190243448296,0.3626821207466368,1.0,570.0,1
42,2006-11-21,0.03909657802514946,0.41039940218511634,1.0,599.0,1
43,2007-01-31,0.061454545454545456,0.2775151515151515,0.0,138.0,1
44,2007-02-06,0.09639610389610391,0.5386688311688311,0.0,122.0,1
45,2007-03-15,0.11791360813099948,0.380562070779462,1.0,327.0,1
46,2007-04-18,0.09815221025586877,0.46569400450498016,2.0,609.0,1
47,2007-05-04,0.05333333333333333,0.3972222222222222,0.0,112.0,1
48,2007-06-06,-0.02177174975562071,0.4061151840990551,0.0,437.0,1
49,2007-07-18,0.002500644197072762,0.4742290249433106,3.0,592.0,1
50,2007-08-22,0.1030326797385621,0.36339334521687455,5.0,516.0,1
51,2007-08-23,0.004681899641577062,0.2912186379928316,0.0,313.0,1
52,2007-10-15,0.008638888888888887,0.3506944444444444,0.0,148.0,1
53,2007-10-21,0.08502915451895045,0.4040379008746354,0.0,339.0,1
54,2007-12-28,0.04909081776170383,0.4309423347398029,2.0,622.0,1
55,2008-01-21,0.06907894736842106,0.4096491228070176,0.0,287.0,1
56,2008-02-27,0.10360377026074703,0.4279771585004143,0.0,577.0,1
57,2008-03-06,0.14487151737151735,0.46390165390165394,0.0,236.0,1
58,2008-03-08,0.18979521849892222,0.4435175387027237,3.0,551.0,1
59,2008-03-14,0.01858076563958917,0.3532835356364768,1.0,304.0,1
60,2008-03-16,0.025260416666666678,0.31953125,1.0,243.0,1
61,2008-03-17,0.0694399789793677,0.4147264011243779,2.3333333333333335,442.3333333333333,3
62,2008-03-24,0.04152680652680653,0.3331235431235431,0.0,191.0,1
63,2008-03-26,0.09114315916641501,0.46599214738749617,1.0,283.0,1
64,2008-04-16,0.05815157065157065,0.37645965145965143,0.0,362.0,1
65,2008-04-26,0.08013743201243201,0.5393628593628594,1.0,680.0,1
66,2008-05-16,0.37187257187257183,0.49050116550116557,0.0,284.0,1
67,2008-05-24,0.07977726574500768,0.3861213517665131,0.0,250.0,1
68,2008-06-09,-0.0976156655844156,0.3848823051948052,1.0,158.0,1
69,2008-06-27,0.08607774759735545,0.4437113667015629,0.0,842.0,1
70,2008-08-01,0.09618714618714617,0.4399047381190238,0.0,620.0,1
71,2008-08-05,0.12697621326042377,0.49058462064251535,0.0,534.0,1
72,2008-08-13,-0.0084054834054834,0.36576479076479074,3.0,236.0,1
73,2008-09-14,0.07387037037037038,0.5033827160493826,0.0,447.0,1
