date,sp500
11/9/2010,2033.849976
11/10/2010,2043.160034
11/11/2010,2034.47998
11/12/2010,2010.569946
11/15/2010,2008.25
11/16/2010,1976.26001
11/17/2010,1977
11/18/2010,2007.380005
11/19/2010,2012.589966
11/22/2010,2009.52002
11/23/2010,1980.890015
11/24/2010,2010.560059
11/26/2010,1996.030029
11/29/2010,1993.829956
11/30/2010,1981.839966
12/1/2010,2024.969971
12/2/2010,2050.959961
12/3/2010,2056.399902
12/6/2010,2053.800049
12/7/2010,2054.889893
12/8/2010,2063.030029
12/9/2010,2071.120117
12/10/2010,2083.570068
12/13/2010,2084
12/14/2010,2085.929932
12/15/2010,2075.290039
12/16/2010,2088.189941
12/17/2010,2089.949951
12/20/2010,2095.320068
12/21/2010,2108.26001
12/22/2010,2115.689941
12/23/2010,2112.370117
12/27/2010,2113.669922
12/28/2010,2115.320068
12/29/2010,2117.830078
12/30/2010,2114.699951
12/31/2010,2114.290039
1/3/2011,2138.300049
1/4/2011,2135.530029
1/5/2011,2146.5
1/6/2011,2142.76001
1/7/2011,2138.810059
1/10/2011,2135.860107
1/11/2011,2143.820068
1/12/2011,2163.360107
1/13/2011,2159.659912
1/14/2011,2175.679932
1/18/2011,2178.719971
1/19/2011,2156.969971
1/20/2011,2154.179932
1/21/2011,2159.429932
1/24/2011,2172.030029
1/25/2011,2172.669922
1/26/2011,2181.919922
1/27/2011,2186.929932
1/28/2011,2147.949951
1/31/2011,2164.399902
2/1/2011,2200.540039
2/2/2011,2194.939941
2/3/2011,2200.419922
2/4/2011,2206.800049
2/7/2011,2220.600098
2/8/2011,2230.590088
2/9/2011,2224.639893
2/10/2011,2226.51001
2/11/2011,2239.080078
2/14/2011,2244.889893
2/15/2011,2237.899902
2/16/2011,2252.300049
2/17/2011,2259.419922
2/18/2011,2263.790039
2/22/2011,2217.350098
2/23/2011,2203.889893
2/24/2011,2202.22998
2/25/2011,2226.050049
2/28/2011,2238.550049
3/1/2011,2203.320068
3/2/2011,2207.23999
3/3/2011,2245.330078
3/4/2011,2228.780029
3/7/2011,2210.26001
3/8/2011,2230.399902
3/9/2011,2227.699951
3/10/2011,2185.649902
3/11/2011,2201.810059
3/14/2011,2188.560059
3/15/2011,2164.060059
3/16/2011,2121.939941
3/17/2011,2150.429932
3/18/2011,2159.689941
3/21/2011,2192.090088
3/22/2011,2184.570068
3/23/2011,2190.959961
3/24/2011,2211.419922
3/25/2011,2218.419922
3/28/2011,2212.320068
3/29/2011,2228.409912
3/30/2011,2243.550049
3/31/2011,2239.439941
4/1/2011,2250.580078
4/4/2011,2251.639893
4/5/2011,2251.26001
4/6/2011,2257.110107
4/7/2011,2253.76001
4/8/2011,2244.73999
4/11/2011,2238.51001
4/12/2011,2221.120117
4/13/2011,2221.77002
4/14/2011,2221.98999
4/15/2011,2230.699951
4/18/2011,2206.149902
4/19/2011,2218.860107
4/20/2011,2248.899902
4/21/2011,2260.840088
4/25/2011,2257.23999
4/26/2011,2277.51001
4/27/2011,2292.129883
4/28/2011,2300.459961
4/29/2011,2305.76001
5/2/2011,2301.719971
5/3/2011,2293.949951
5/4/2011,2278.629883
5/5/2011,2258.080078
5/6/2011,2266.969971
5/9/2011,2277.300049
5/10/2011,2295.719971
5/11/2011,2271.469971
5/12/2011,2282.840088
5/13/2011,2264.52002
5/16/2011,2250.610107
5/17/2011,2250.350098
5/18/2011,2270.570068
5/19/2011,2275.709961
5/20/2011,2258.209961
5/23/2011,2231.310059
5/24/2011,2229.48999
5/25/2011,2236.75
5/26/2011,2246.129883
5/27/2011,2255.73999
5/31/2011,2279.659912
6/1/2011,2227.959961
6/2/2011,2225.360107
6/3/2011,2203.810059
6/6/2011,2180.139893
6/7/2011,2178.149902
6/8/2011,2169.5
6/9/2011,2185.52002
