,date,sentiment_polarity,sentiment_subjectivity,word_count,total_words,no_articles
0,2000-01-14,0.08208041958041959,0.32296037296037294,4.0,219.0,1
1,2000-04-16,0.10366964979464988,0.43377979956551393,1.0,980.0,1
2,2000-11-15,0.07594599844599845,0.4909809634809636,2.0,429.0,1
3,2000-11-18,0.05613707917426923,0.46886331070215365,0.0,703.0,1
4,2001-04-25,0.09208010556694762,0.3808253588516745,3.0,773.0,1
5,2001-07-23,0.039454545454545464,0.37018181818181817,1.0,183.0,1
6,2001-12-15,0.015700456950456958,0.43815055315055307,1.5,350.5,2
7,2001-12-18,0.07888302669552669,0.4014024170274171,0.0,286.0,1
8,2002-04-13,0.16628045157456922,0.34379084967320256,4.0,377.0,1
9,2002-04-21,0.06535714285714285,0.40145502645502645,4.0,384.0,1
10,2002-05-18,0.10290032679738563,0.5018790849673201,0.0,272.0,1
11,2002-07-27,0.011441798941798944,0.316005291005291,1.0,94.0,1
12,2002-08-03,0.1467948717948718,0.4141025641025641,1.0,92.0,1
13,2003-01-11,0.09619579730893606,0.45485910075326125,0.0,2652.0,1
14,2003-04-01,0.11832148596353144,0.4518358093926274,0.0,583.0,1
15,2003-05-18,0.005796387520525448,0.45720853858784893,2.0,183.0,1
16,2003-06-24,0.11174242424242424,0.43312289562289563,0.0,154.0,1
17,2003-07-13,0.05528571428571429,0.4093333333333333,1.0,190.0,1
18,2003-07-19,0.09051587301587302,0.3594126984126984,1.0,174.0,1
19,2003-09-06,0.13072916666666667,0.35520833333333335,1.0,156.0,1
20,2003-09-28,0.12642857142857142,0.4223809523809523,2.0,186.0,1
21,2003-10-18,0.10755111225408251,0.4375583986970125,1.0,644.0,1
22,2003-10-29,0.040274170274170254,0.35316738816738813,2.0,364.0,1
23,2003-11-27,0.09846793426134748,0.3974021437644192,3.0,1172.0,1
24,2003-11-30,0.18506493506493507,0.3859307359307359,0.0,176.0,1
25,2003-12-07,0.0672077922077922,0.3718837535014006,2.0,182.0,1
26,2003-12-27,0.05333661288206742,0.36418942168942164,5.0,569.0,1
27,2004-01-25,0.06355092592592594,0.3646666666666666,4.0,214.0,1
28,2004-02-01,0.018578431372549012,0.4133333333333334,1.0,249.0,1
29,2004-05-19,0.09522540216984662,0.40160867938645717,0.0,482.0,1
30,2004-10-22,0.0739654952890247,0.3635376878023937,0.0,124.0,1
31,2005-03-15,0.06900860767139837,0.5140772341353738,1.0,635.0,1
32,2005-04-18,0.07907925407925408,0.40099067599067595,0.0,120.0,1
33,2005-04-21,0.013823911382734911,0.37150967659791195,0.0,300.0,1
34,2005-07-02,0.1621888528138528,0.5039231601731601,0.0,143.0,1
35,2005-10-14,0.08951833607006018,0.4865147783251231,0.0,438.0,1
36,2006-01-25,0.0883320042530569,0.3820228601807549,0.0,247.0,1
37,2006-07-13,0.06819984171418599,0.4200082547418613,2.0,597.5,2
38,2006-12-04,0.03504662004662005,0.4603962703962703,1.0,460.0,1
39,2007-03-03,0.047124418791085455,0.42748116081449417,0.0,377.0,1
40,2008-07-29,0.23862433862433863,0.4791005291005291,2.0,72.0,1
41,2008-09-09,0.2637121212121212,0.38572390572390575,0.0,320.0,1
42,2009-04-28,0.15530141843971632,0.4414184397163121,0.0,405.0,1
43,2009-07-28,0.0594405203402788,0.427200344833195,2.5,236.0,2
44,2009-12-22,0.13676190476190475,0.38471428571428573,1.0,158.0,1
45,2010-01-19,0.11358695652173914,0.425,1.0,227.0,1
46,2011-09-03,0.05321491146028186,0.5275443472850879,0.0,993.0,1
47,2012-04-03,0.10937096567837848,0.42945345481391994,0.5,511.5,2
48,2012-04-23,0.13537649219467401,0.5314738292011019,0.0,258.0,1
49,2012-04-26,0.044825487012987,0.35824765512265494,0.0,525.0,1
50,2013-02-01,0.10714283401783407,0.41450707056476277,0.0,482.0,1
51,2013-10-23,0.15965579136310842,0.5082990180551157,0.0,345.0,1
52,2013-11-20,0.1898159431892309,0.5121581272608671,0.0,830.0,1
53,2013-11-22,0.04890350753095851,0.38206740608701395,0.0,1063.0,1
54,2014-03-27,0.11796197266785503,0.41926322043969094,0.0,356.0,1
55,2014-08-30,0.04025419025419024,0.3104575979575979,1.0,726.0,1
56,2015-02-18,0.06987091998619381,0.518842719880184,0.0,1920.0,1
57,2015-03-09,0.07099829463465826,0.30266955266955264,0.0,529.0,1
58,2015-04-23,0.05713733075435204,0.4058241994412206,4.0,322.0,1
59,2015-05-26,0.07674859708193042,0.48736636203302874,1.0,377.0,1
60,2015-05-27,0.15562601461038958,0.48678695436507935,0.0,505.0,1
61,2015-11-02,0.041961580086580096,0.5135297300738475,0.0,427.0,1
62,2015-11-23,0.07868429189857759,0.24819404518384108,0.0,1395.0,1
63,2016-07-19,0.08820154308057535,0.42873328620304424,0.0,297.0,2
64,2016-07-20,0.09846001152025023,0.3986435666449739,0.6666666666666666,403.3333333333333,3
65,2016-07-22,0.11823476523476523,0.44494555444555456,0.0,871.0,1
66,2016-07-23,0.05370432263814617,0.40210932857991677,0.0,470.0,1
67,2016-07-25,0.07775857654889912,0.3340885816692267,0.0,270.0,1
68,2016-08-11,-0.039384920634920655,0.447420634920635,0.0,156.0,1
69,2016-08-12,0.09022651446218322,0.4326734359059201,0.0,1026.0,1
70,2016-08-15,0.03357575757575758,0.4176969696969697,0.0,352.0,1
71,2016-08-25,-0.035783858998144714,0.46138940424654706,1.0,319.0,1
72,2016-09-13,0.05327115694762754,0.4592076224429165,1.0,459.0,1
73,2017-01-03,0.09301489470980996,0.37087827426810477,0.0,383.0,1
